c1,Ki_1,c2,Ki_2,tid
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(N3CCCC3)cc2cn1)C1CC1,17,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(-c3cncnc3)cc2cn1)C1CC1,4,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,Cc1nc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cs1,13,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(OC3CCCCC3)cc2cn1)C1CC1,27,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(Sc3ccccc3)cc2cn1)C1CC1,13,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(OC(F)F)cc2cn1)C1CC1,4,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(Oc3cccnc3)cc2cn1)C1CC1,6,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(-c3cnccn3)cc2cn1)C1CC1,18,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,Cc1cnc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cn1,42,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(Oc3cncnc3)cc2cn1)C1CC1,42,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,Cc1cc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)ccn1,42,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,Cn1ccc(Oc2ccc3cc(NC(=O)C4CC4)ncc3c2)n1,7,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(-c3ccnnc3)cc2cn1)C1CC1,34,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,CC(C)COc1ccc2cc(NC(=O)C3CC3)ncc2c1,12,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,Nc1cncc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,4,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,Nc1cc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)ccn1,7,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,COc1ccc2cc(NC(=O)C3CC3)ncc2c1,30,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,CC(C)(CO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,11,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,CCOc1ccc2cc(NC(=O)C3CC3)ncc2c1,7,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(OCCO)cc2cn1)C1CC1,6,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,C[C@H](CO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,11,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,COC[C@H](C)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,8,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,CC(C)(C)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,13,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,COC[C@@H](C)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,27,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,C[C@H](CCO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,23,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(OC3CCC3)cc2cn1)C1CC1,7,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(OC3COC[C@@H]3O)cc2cn1)C1CC1,13.5,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(OC3COC[C@H]3O)cc2cn1)C1CC1,13.5,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(NCCO)cc2cn1)C1CC1,17,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(OC3CCC[C@@H]3O)cc2cn1)C1CC1,4,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(Br)cc2cn1)C1CC1,24.9,8
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.03,O=C(Nc1cc2ccc(-c3ccncc3)cc2cn1)C1CC1,5.65,8
Cn1cc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cn1,3,CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,8
Cc1n[nH]c(C)c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,3,CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,8
O=C(Nc1cc2ccc(N3CCCC3)cc2cn1)C1CC1,17,Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,8
O=C(Nc1cc2ccc(N3CCCC3)cc2cn1)C1CC1,17,Cc1c[nH]nc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,8
O=C(Nc1cc2ccc(N3CCCC3)cc2cn1)C1CC1,17,O=C(Nc1cc2ccc(-c3cnccc3Cl)cc2cn1)C1CC1,0.07,8
O=C(Nc1cc2ccc(C3CCCCC3)cc2cn1)C1CC1,2,CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,8
O=C(Nc1cc2ccc(C3CCCCC3)cc2cn1)C1CC1,2,O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(C3CCCC3)cc2cn1)C1CC1,2,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,Cc1ncccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(N3CCC(O)CC3)cc2cn1)C1CC1,3,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(-c3ccccn3)cc2cn1)C1CC1,2,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(-c3cncnc3)cc2cn1)C1CC1,4,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(-c3cc[nH]n3)cc2cn1)C1CC1,0.5,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(Nc3ccccc3)cc2cn1)C1CC1,1,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,Cc1ncncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.5,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,Cc1cnccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,2,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,Cn1nccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,2,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(-c3cncc(F)c3)cc2cn1)C1CC1,0.5,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(-c3ccc[nH]3)cc2cn1)C1CC1,0.7,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,CC(C)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,0.8,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(OC(F)F)cc2cn1)C1CC1,4,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,Cc1c[nH]nc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(Oc3ccccc3)cc2cn1)C1CC1,3,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,Cc1nccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,CC(C)Nc1ccc2cc(NC(=O)C3CC3)ncc2c1,0.7,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,Nc1cncc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,4,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,CC(C)=Cc1ccc2cc(NC(=O)C3CC3)ncc2c1,3,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(-c3cnccc3Cl)cc2cn1)C1CC1,0.07,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,CC(C)Cc1ccc2cc(NC(=O)C3CC3)ncc2c1,1,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,C[C@@H](CO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,2,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,CC(CO)Cc1ccc2cc(NC(=O)C3CC3)ncc2c1,0.8,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(N3CCC(O)C3)cc2cn1)C1CC1,1,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,C[C@@H](CCO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,2,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,C[C@H](CO)Cc1ccc2cc(NC(=O)C3CC3)ncc2c1,0.75,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,C[C@@H](CO)Cc1ccc2cc(NC(=O)C3CC3)ncc2c1,0.75,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,CC(C)Sc1ccc2cc(NC(=O)C3CC3)ncc2c1,1,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,CC(C)[S+]([O-])c1ccc2cc(NC(=O)C3CC3)ncc2c1,1,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,CC(C)S(=O)(=O)c1ccc2cc(NC(=O)C3CC3)ncc2c1,1,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(OC3CCC[C@@H]3O)cc2cn1)C1CC1,4,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(-c3ccncc3Cl)cc2cn1)C1CC1,1.39,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,0.712,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(-c3ccccc3Cl)cc2cn1)C1CC1,0.312,8
CN1CCN(c2ccc3cc(NC(=O)C4CC4)ncc3c2)CC1,403,O=C(Nc1cc2ccc(-c3ccccc3F)cc2cn1)C1CC1,0.545,8
O=C(Nc1cc2ccc(C3CCCC3)cc2cn1)C1CC1,2,O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,Cc1nc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cs1,13,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,O=C(Nc1cc2ccc(OC3CCCCC3)cc2cn1)C1CC1,27,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,O=C(Nc1cc2ccc(Sc3ccccc3)cc2cn1)C1CC1,13,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,O=C(Nc1cc2ccc(-c3cnccn3)cc2cn1)C1CC1,18,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,Cc1cnc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cn1,42,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,O=C(Nc1cc2ccc(Oc3cncnc3)cc2cn1)C1CC1,42,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,Cc1cc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)ccn1,42,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,O=C(Nc1cc2ccc(-c3ccnnc3)cc2cn1)C1CC1,34,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,CC(C)COc1ccc2cc(NC(=O)C3CC3)ncc2c1,12,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,COc1ccc2cc(NC(=O)C3CC3)ncc2c1,30,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,CC(C)(CO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,11,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,C[C@H](CO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,11,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,CC(C)(C)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,13,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,COC[C@@H](C)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,27,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,C[C@H](CCO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,23,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,O=C(Nc1cc2ccc(OC3COC[C@@H]3O)cc2cn1)C1CC1,13.5,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,O=C(Nc1cc2ccc(OC3COC[C@H]3O)cc2cn1)C1CC1,13.5,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,O=C(Nc1cc2ccc(NCCO)cc2cn1)C1CC1,17,8
Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,O=C(Nc1cc2ccc(Br)cc2cn1)C1CC1,24.9,8
Cc1ncccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1,O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,O=C(Nc1cc2ccc(-c3ccccn3)cc2cn1)C1CC1,2,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,O=C(Nc1cc2ccc(-c3cc[nH]n3)cc2cn1)C1CC1,0.5,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,O=C(Nc1cc2ccc(Nc3ccccc3)cc2cn1)C1CC1,1,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,Cc1ncncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.5,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,Cc1cnccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,2,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,Cn1nccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,2,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,O=C(Nc1cc2ccc(-c3cncc(F)c3)cc2cn1)C1CC1,0.5,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,O=C(Nc1cc2ccc(-c3ccc[nH]3)cc2cn1)C1CC1,0.7,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,CC(C)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,0.8,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,Cc1c[nH]nc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,0.1,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,Cc1nccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,CC(C)Nc1ccc2cc(NC(=O)C3CC3)ncc2c1,0.7,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,O=C(Nc1cc2ccc(-c3cnccc3Cl)cc2cn1)C1CC1,0.07,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,CC(C)Cc1ccc2cc(NC(=O)C3CC3)ncc2c1,1,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,C[C@@H](CO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,2,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,CC(CO)Cc1ccc2cc(NC(=O)C3CC3)ncc2c1,0.8,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,O=C(Nc1cc2ccc(N3CCC(O)C3)cc2cn1)C1CC1,1,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,C[C@@H](CCO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,2,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,C[C@H](CO)Cc1ccc2cc(NC(=O)C3CC3)ncc2c1,0.75,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,C[C@@H](CO)Cc1ccc2cc(NC(=O)C3CC3)ncc2c1,0.75,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,CC(C)Sc1ccc2cc(NC(=O)C3CC3)ncc2c1,1,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,CC(C)[S+]([O-])c1ccc2cc(NC(=O)C3CC3)ncc2c1,1,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,CC(C)S(=O)(=O)c1ccc2cc(NC(=O)C3CC3)ncc2c1,1,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,O=C(Nc1cc2ccc(-c3ccncc3Cl)cc2cn1)C1CC1,1.39,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,0.712,8
O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1,238,O=C(Nc1cc2ccc(-c3ccccc3Cl)cc2cn1)C1CC1,0.312,8
